Gene_Symbol,GeneID,Description
MAT1A,4143,"methionine adenosyltransferase I, alpha"
TAF6L,10629,"TAF6-like RNA polymerase II, p300/CBP-associated factor (PCAF)-associated factor, 65kDa"
HOOK3,84376,hook homolog 3
COL15A1,1306,"collagen, type XV, alpha 1"
C9orf4,23732,chromosome 9 open reading frame 4
NACAD,23148,NAC alpha domain containing
MGC12982,84793,hypothetical protein MGC12982
CREBBP,1387,CREB binding protein (Rubinstein-Taybi syndrome)
SH3PXD2A,9644,SH3 and PX domains 2A
SPRR2D,6703,small proline-rich protein 2D
FKBP11,51303,"FK506 binding protein 11, 19 kDa"
GCGR,2642,glucagon receptor
TWISTNB,221830,TWIST neighbor
IGSF6,10261,"immunoglobulin superfamily, member 6"
KRT7,3855,keratin 7
MPZ,4359,myelin protein zero (Charcot-Marie-Tooth neuropathy 1B)
SLC12A7,10723,"solute carrier family 12 (potassium/chloride transporters), member 7"
NDN,4692,necdin homolog (mouse)
HTN1,3346,histatin 1
KIF1B,23095,kinesin family member 1B
ICAM3,3385,intercellular adhesion molecule 3
RPS6KA3,6197,"ribosomal protein S6 kinase, 90kDa, polypeptide 3"
ZNF12,7559,zinc finger protein 12
NPY1R,4886,neuropeptide Y receptor Y1
ATP11B,23200,"ATPase, class VI, type 11B"
EEF1G,1937,eukaryotic translation elongation factor 1 gamma
TMED10,10972,transmembrane emp24-like trafficking protein 10
FLJ10357,55701,hypothetical protein FLJ10357
GOLIM4,27333,golgi integral membrane protein 4
FBXO2,26232,F-box protein 2
PABPC1,26986,"poly(A) binding protein, cytoplasmic 1"
EIF4G1,1981,"eukaryotic translation initiation factor 4 gamma, 1"
S100P,6286,S100 calcium binding protein P
WAPAL,23063,wings apart-like homolog
IL1R1,3554,"interleukin 1 receptor, type I"
BACH1,571,"BTB and CNC homology 1, basic leucine zipper transcription factor 1"
HIF1AN,55662,"hypoxia-inducible factor 1, alpha subunit inhibitor"
SEC31A,22872,SEC31 homolog A
LDHA,3939,lactate dehydrogenase A
NKX2-1,7080,NK2 homeobox 1
MLANA,2315,melan-A
DAB2,1601,"disabled homolog 2, mitogen-responsive phosphoprotein"
SNAP29,9342,"synaptosomal-associated protein, 29kDa"
KEL,3792,"Kell blood group, metallo-endopeptidase"
BLMH,642,bleomycin hydrolase
JUNB,3726,jun B proto-oncogene
CAV1,857,"caveolin 1, caveolae protein, 22kDa"
ABCB1,5243,"ATP-binding cassette, sub-family B (MDR/TAP), member 1 (multidrug resistance protein 1, doxorubicin resistance)"
NFASC,23114,neurofascin homolog (chicken)
MAML1,9794,mastermind-like 1
IL1F7,27178,"interleukin 1 family, member 7 (zeta)"
SARS,6301,seryl-tRNA synthetase
MTCP1,4515,mature T-cell proliferation 1
ABCC9,10060,"ATP-binding cassette, sub-family C (CFTR/MRP), member 9"
LOC120376,120376,hypothetical protein LOC120376
ACTB,60,"actin, beta"
RICH2,9912,Rho-type GTPase-activating protein RICH2
PLA2G4B,8681,"phospholipase A2, group IVB (cytosolic)"
CDH10,1008,"cadherin 10, type 2 (T2-cadherin)"
TSPAN7,7102,tetraspanin 7
RPLP1,6176,"ribosomal protein, large, P1"
SPAG5,10615,sperm associated antigen 5
ZNF238,10472,zinc finger protein 238
AP4E1,23431,"adaptor-related protein complex 4, epsilon 1 subunit"
ZFHX3,463,zinc finger homeobox 3
PTPLB,201562,"protein tyrosine phosphatase-like (proline instead of catalytic arginine), member b"
MLSTD1,55711,male sterility domain containing 1
CNTN6,27255,contactin 6
NUP153,9972,nucleoporin 153kDa
C2CD3,26005,C2 calcium-dependent domain containing 3
C2orf49,79074,chromosome 2 open reading frame 49
GFRA3,2676,GDNF family receptor alpha 3
LIMA1,51474,LIM domain and actin binding 1
DOLPP1,57171,dolichyl pyrophosphate phosphatase 1
IPO8,10526,importin 8
CDX2,1045,caudal type homeobox 2
PRG4,10216,proteoglycan 4
TIMM8A,1678,translocase of inner mitochondrial membrane 8 homolog A
CD1C,911,CD1c molecule
LMNA,4000,lamin A/C
KDELR1,10945,KDEL (Lys-Asp-Glu-Leu) endoplasmic reticulum protein retention receptor 1
SERPINH1,871,"serpin peptidase inhibitor, clade H (heat shock protein 47), member 1, (collagen binding protein 1)"
C18orf37,125476,chromosome 18 open reading frame 37
CCR6,1235,chemokine (C-C motif) receptor 6
ZNF331,55422,zinc finger protein 331
GPX3,2878,glutathione peroxidase 3 (plasma)
ARL4C,10123,ADP-ribosylation factor-like 4C
UNC119,9094,unc-119 homolog (C. elegans)
BDKRB1,623,bradykinin receptor B1
C18orf1,753,chromosome 18 open reading frame 1
SLC39A10,57181,"solute carrier family 39 (zinc transporter), member 10"
LRP5,4041,low density lipoprotein receptor-related protein 5
CRIP2,1397,cysteine-rich protein 2
DNAJB1,3337,"DnaJ (Hsp40) homolog, subfamily B, member 1"
APAF1,317,apoptotic peptidase activating factor 1
C12orf56,115749,chromosome 12 open reading frame 56
CDKN1C,1028,"cyclin-dependent kinase inhibitor 1C (p57, Kip2)"
TMEM38B,55151,transmembrane protein 38B
NFATC4,4776,"nuclear factor of activated T-cells, cytoplasmic, calcineurin-dependent 4"
C13orf21,387923,chromosome 13 open reading frame 21
HN1,51155,hematological and neurological expressed 1
PRSS2,5645,"protease, serine, 2 (trypsin 2)"
ERC2,26059,ELKS/RAB6-interacting/CAST family member 2
DHRS9,10170,dehydrogenase/reductase (SDR family) member 9
MKL2,57496,MKL/myocardin-like 2
LIF,3976,leukemia inhibitory factor (cholinergic differentiation factor)
CALML3,810,calmodulin-like 3
ESRRG,2104,estrogen-related receptor gamma
LOC283378,283378,hypothetical protein LOC283378
MARCH5,54708,membrane-associated ring finger (C3HC4) 5
NEUROG1,4762,neurogenin 1
IL19,29949,interleukin 19
SOCS2,8835,suppressor of cytokine signaling 2
GPS2,2874,G protein pathway suppressor 2
MDM4,4194,"Mdm4, transformed 3T3 cell double minute 4, p53 binding protein (mouse)"
C12orf5,57103,chromosome 12 open reading frame 5
COL6A6,131873,collagen type VI alpha 6
TMOD4,29765,tropomodulin 4 (muscle)
CTDSP2,10106,"CTD (carboxy-terminal domain, RNA polymerase II, polypeptide A) small phosphatase 2"
ATG2A,23130,ATG2 autophagy related 2 homolog A
DUSP8,1850,dual specificity phosphatase 8
CLDN18,51208,claudin 18
ZNF507,22847,zinc finger protein 507
TINAG,27283,tubulointerstitial nephritis antigen
SORBS1,10580,sorbin and SH3 domain containing 1
TSPAN11,441631,tetraspanin 11
ADAMDEC1,27299,"ADAM-like, decysin 1"
UNC13B,10497,unc-13 homolog B (C. elegans)
VPS13C,54832,vacuolar protein sorting 13 homolog C
TIPIN,54962,TIMELESS interacting protein
SLC12A6,9990,"solute carrier family 12 (potassium/chloride transporters), member 6"
CACNA2D3,55799,"calcium channel, voltage-dependent, alpha 2/delta 3 subunit"
VIL2,7430,villin 2 (ezrin)
SMARCD2,6603,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 2"
NRXN1,9378,neurexin 1
ZNF490,57474,zinc finger protein 490
ATP6V1C1,528,"ATPase, H+ transporting, lysosomal 42kDa, V1 subunit C1"
MRC1,4360,"mannose receptor, C type 1"
KRT37,8688,keratin 37
MGC2752,65996,hypothetical LOC65996
NCOR2,9612,nuclear receptor co-repressor 2
FLJ36031,168455,hypothetical protein FLJ36031
GARS,2617,glycyl-tRNA synthetase
CCDC80,151887,coiled-coil domain containing 80
AOF1,221656,amine oxidase (flavin containing) domain 1
TMEM151B,441151,transmembrane protein 151B
CENPA,1058,centromere protein A
LAMA4,3910,"laminin, alpha 4"
SCO1,6341,SCO cytochrome oxidase deficient homolog 1
P2RXL1,9127,"purinergic receptor P2X-like 1, orphan receptor"
ASTN1,460,astrotactin 1
SRGN,5552,serglycin
TNFRSF11B,4982,"tumor necrosis factor receptor superfamily, member 11b (osteoprotegerin)"
KALRN,8997,"kalirin, RhoGEF kinase"
TCEA1,6917,"transcription elongation factor A (SII), 1"
HECW2,57520,"HECT, C2 and WW domain containing E3 ubiquitin protein ligase 2"
EPB41L3,23136,erythrocyte membrane protein band 4.1-like 3
TESC,54997,tescalcin
RPP14,11102,ribonuclease P/MRP 14kDa subunit
NHLRC1,378884,NHL repeat containing 1
CSTB,1476,cystatin B (stefin B)
REC8,9985,REC8 homolog
PLCXD2,257068,"phosphatidylinositol-specific phospholipase C, X domain containing 2"
MRPS30,10884,mitochondrial ribosomal protein S30
SAE2,10054,SUMO1 activating enzyme subunit 2
VCY,9084,"variable charge, Y-linked"
XKRX,402415,"XK, Kell blood group complex subunit-related, X-linked"
PCDH17,27253,protocadherin 17
PCSK1,5122,proprotein convertase subtilisin/kexin type 1
MRPL1,65008,mitochondrial ribosomal protein L1
SEC14L4,284904,SEC14-like 4
MID2,11043,midline 2
PRR4,11272,proline rich 4 (lacrimal)
hCG_40738,200424,hypothetical protein MGC22014
FLJ11171,55783,hypothetical protein FLJ11171
MAP4,4134,microtubule-associated protein 4
PSMA5,5686,"proteasome (prosome, macropain) subunit, alpha type, 5"
PRKAA1,5562,"protein kinase, AMP-activated, alpha 1 catalytic subunit"
CDC2,983,"cell division cycle 2, G1 to S and G2 to M"
FAM46A,55603,"family with sequence similarity 46, member A"
TNNT2,7139,troponin T type 2 (cardiac)
AGPAT5,55326,"1-acylglycerol-3-phosphate O-acyltransferase 5 (lysophosphatidic acid acyltransferase, epsilon)"
APEX2,27301,APEX nuclease (apurinic/apyrimidinic endonuclease) 2
CDH15,1013,"cadherin 15, M-cadherin (myotubule)"
GALNT7,51809,UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 7 (GalNAc-T7)
UCA1,652995,urothelial cancer associated 1
MCTP1,79772,"multiple C2 domains, transmembrane 1"
RIN2,54453,Ras and Rab interactor 2
TPPP3,51673,tubulin polymerization-promoting protein family member 3
SAMM50,25813,sorting and assembly machinery component 50 homolog
COL4A4,1286,"collagen, type IV, alpha 4"
ALCAM,214,activated leukocyte cell adhesion molecule
PGK1,5230,phosphoglycerate kinase 1
ARIH1,25820,"ariadne homolog, ubiquitin-conjugating enzyme E2 binding protein, 1"
RBM47,54502,RNA binding motif protein 47
HOXC6,3223,homeobox C6
ZNF614,80110,zinc finger protein 614
STX4,6810,syntaxin 4
PADI3,51702,"peptidyl arginine deiminase, type III"
RPS19,6223,ribosomal protein S19
LOC51035,51035,SAPK substrate protein 1
ATF5,22809,activating transcription factor 5
PTGDS,5730,prostaglandin D2 synthase 21kDa (brain)
CXorf61,203413,chromosome X open reading frame 61
PDLIM3,27295,PDZ and LIM domain 3
KIF5A,3798,kinesin family member 5A
PNLIPRP2,5408,pancreatic lipase-related protein 2
COL5A2,1290,"collagen, type V, alpha 2"
AMY1A,276,"amylase, alpha 1A (salivary)"
PTPN1,5770,"protein tyrosine phosphatase, non-receptor type 1"
TNNC1,7134,troponin C type 1 (slow)
HIBCH,26275,3-hydroxyisobutyryl-Coenzyme A hydrolase
LIN7C,55327,lin-7 homolog C
CHST11,50515,carbohydrate (chondroitin 4) sulfotransferase 11
MUC5AC,4586,"mucin 5AC, oligomeric mucus/gel-forming"
BCHE,590,butyrylcholinesterase
LOC143381,143381,hypothetical protein LOC143381
NEK1,4750,NIMA (never in mitosis gene a)-related kinase 1
GATM,2628,glycine amidinotransferase (L-arginine:glycine amidinotransferase)
KIAA1409,57578,KIAA1409
SOS1,6654,son of sevenless homolog 1
RAB7L1,8934,"RAB7, member RAS oncogene family-like 1"
PTBP2,58155,polypyrimidine tract binding protein 2
LAMA2,3908,"laminin, alpha 2 (merosin, congenital muscular dystrophy)"
PTGS2,5743,prostaglandin-endoperoxide synthase 2 (prostaglandin G/H synthase and cyclooxygenase)
NEDD4,4734,"neural precursor cell expressed, developmentally down-regulated 4"
KLRC1,3821,"killer cell lectin-like receptor subfamily C, member 1"
EHBP1L1,254102,EH domain binding protein 1-like 1
SHC4,399694,"SHC (Src homology 2 domain containing) family, member 4"
HRG,3273,histidine-rich glycoprotein
NPC2,10577,"Niemann-Pick disease, type C2"
C1orf128,57095,chromosome 1 open reading frame 128
KRT2,3849,keratin 2 (epidermal ichthyosis bullosa of Siemens)
CTDSPL2,51496,"CTD (carboxy-terminal domain, RNA polymerase II, polypeptide A) small phosphatase like 2"
AR,367,androgen receptor (dihydrotestosterone receptor; testicular feminization; spinal and bulbar muscular atrophy; Kennedy disease)
CPSF2,53981,"cleavage and polyadenylation specific factor 2, 100kDa"
SYT7,9066,synaptotagmin VII
LOC339240,339240,keratin pseudogene
ARHGAP5,394,Rho GTPase activating protein 5
FAM49B,51571,"family with sequence similarity 49, member B"
EGR2,1959,"early growth response 2 (Krox-20 homolog, Drosophila)"
PRKACA,5566,"protein kinase, cAMP-dependent, catalytic, alpha"
EGR3,1960,early growth response 3
FARP1,10160,"FERM, RhoGEF (ARHGEF) and pleckstrin domain protein 1 (chondrocyte-derived)"
C20orf111,51526,chromosome 20 open reading frame 111
TMEM98,26022,transmembrane protein 98
SPINK5,11005,"serine peptidase inhibitor, Kazal type 5"
CD37,951,CD37 molecule
ABCB4,5244,"ATP-binding cassette, sub-family B (MDR/TAP), member 4"
CDH1,999,"cadherin 1, type 1, E-cadherin (epithelial)"
MAP3K3,4215,mitogen-activated protein kinase kinase kinase 3
KIAA1239,57495,KIAA1239
SYT17,51760,synaptotagmin XVII
PMAIP1,5366,phorbol-12-myristate-13-acetate-induced protein 1
CLCN4,1183,chloride channel 4
PRKACB,5567,"protein kinase, cAMP-dependent, catalytic, beta"
YBX2,51087,Y box binding protein 2
SPRYD4,283377,SPRY domain containing 4
EPM2AIP1,9852,EPM2A (laforin) interacting protein 1
IGFBP5,3488,insulin-like growth factor binding protein 5
DNAH9,1770,"dynein, axonemal, heavy chain 9"
TMEM14A,28978,transmembrane protein 14A
PDE9A,5152,phosphodiesterase 9A
IRX3,79191,iroquois homeobox 3
CAV2,858,caveolin 2
SLC22A1,6580,"solute carrier family 22 (organic cation transporter), member 1"
SLC1A6,6511,"solute carrier family 1 (high affinity aspartate/glutamate transporter), member 6"
CDKN2C,1031,"cyclin-dependent kinase inhibitor 2C (p18, inhibits CDK4)"
APOBEC3B,9582,"apolipoprotein B mRNA editing enzyme, catalytic polypeptide-like 3B"
ATP2C2,9914,"ATPase, Ca++ transporting, type 2C, member 2"
CFHR1,3078,complement factor H-related 1
STARD3,10948,StAR-related lipid transfer (START) domain containing 3
CHRNA3,1136,"cholinergic receptor, nicotinic, alpha 3"
PANX1,24145,pannexin 1
EBP,10682,emopamil binding protein (sterol isomerase)
KLF9,687,Kruppel-like factor 9
SGCD,6444,"sarcoglycan, delta (35kDa dystrophin-associated glycoprotein)"
SFN,2810,stratifin
CBY1,25776,chibby homolog 1
HNRPM,4670,heterogeneous nuclear ribonucleoprotein M
USP32,84669,ubiquitin specific peptidase 32
CFB,629,complement factor B
RAD54L,8438,RAD54-like
FXR2,9513,"fragile X mental retardation, autosomal homolog 2"
MAGEC1,9947,"melanoma antigen family C, 1"
LOC51233,51233,hypothetical protein LOC51233
MAPK14,1432,mitogen-activated protein kinase 14
ZBTB10,65986,zinc finger and BTB domain containing 10
